location,book_table,name
BTM,No,4903
BTM,Yes,168
Banashankari,No,840
Banashankari,Yes,64
Banaswadi,No,637
Banaswadi,Yes,8
Bannerghatta Road,No,1512
Bannerghatta Road,Yes,99
Basavanagudi,No,668
Basavanagudi,Yes,16
Basaveshwara Nagar,No,169
Basaveshwara Nagar,Yes,18
Bellandur,No,1173
Bellandur,Yes,98
Bommanahalli,No,233
Bommanahalli,Yes,3
Brigade Road,No,1039
Brigade Road,Yes,179
Brookefield,No,582
Brookefield,Yes,74
Church Street,No,387
Church Street,Yes,182
City Market,No,120
City Market,Yes,2
Commercial Street,No,370
Cunningham Road,No,316
Cunningham Road,Yes,175
Domlur,No,427
Domlur,Yes,55
Ejipura,No,434
Electronic City,No,1149
Electronic City,Yes,99
Frazer Town,No,712
Frazer Town,Yes,8
HBR Layout,No,147
HBR Layout,Yes,6
HSR,No,2279
HSR,Yes,217
Hennur,No,151
Hennur,Yes,8
Hosur Road,No,86
Hosur Road,Yes,16
"ITPL Main Road, Whitefield",No,109
"ITPL Main Road, Whitefield",Yes,4
Indiranagar,No,1579
Indiranagar,Yes,454
Infantry Road,No,117
Infantry Road,Yes,34
JP Nagar,No,1904
JP Nagar,Yes,315
Jayanagar,No,1637
Jayanagar,Yes,279
Jeevan Bhima Nagar,No,264
Jeevan Bhima Nagar,Yes,4
Kaggadasapura,No,99
Kaggadasapura,Yes,2
Kalyan Nagar,No,692
Kalyan Nagar,Yes,149
Kammanahalli,No,591
Kammanahalli,Yes,49
Koramangala 1st Block,No,1187
Koramangala 1st Block,Yes,50
Koramangala 2nd Block,No,81
Koramangala 2nd Block,Yes,21
Koramangala 3rd Block,No,106
Koramangala 3rd Block,Yes,110
Koramangala 4th Block,No,695
Koramangala 4th Block,Yes,322
Koramangala 5th Block,No,1789
Koramangala 5th Block,Yes,692
Koramangala 6th Block,No,1016
Koramangala 6th Block,Yes,113
Koramangala 7th Block,No,1012
Koramangala 7th Block,Yes,164
Koramangala 8th Block,No,277
Koramangala 8th Block,Yes,17
Kumaraswamy Layout,No,189
Kumaraswamy Layout,Yes,2
Lavelle Road,No,291
Lavelle Road,Yes,232
MG Road,No,547
MG Road,Yes,347
Majestic,No,153
Majestic,Yes,2
Malleshwaram,No,635
Malleshwaram,Yes,89
Marathahalli,No,1642
Marathahalli,Yes,166
Nagawara,No,176
Nagawara,Yes,11
New BEL Road,No,588
New BEL Road,Yes,56
Old Airport Road,No,378
Old Airport Road,Yes,59
Other,No,821
Other,Yes,35
Race Course Road,No,97
Race Course Road,Yes,42
Rajajinagar,No,550
Rajajinagar,Yes,41
Residency Road,No,523
Residency Road,Yes,151
Richmond Road,No,688
Richmond Road,Yes,116
Sarjapur Road,No,893
Sarjapur Road,Yes,156
Seshadripuram,No,154
Seshadripuram,Yes,11
Shanti Nagar,No,453
Shanti Nagar,Yes,58
Shivajinagar,No,476
Shivajinagar,Yes,23
South Bangalore,No,107
St. Marks Road,No,219
St. Marks Road,Yes,124
Thippasandra,No,191
Ulsoor,No,840
Ulsoor,Yes,177
"Varthur Main Road, Whitefield",No,109
Vasanth Nagar,No,276
Vasanth Nagar,Yes,17
Whitefield,No,1856
Whitefield,Yes,253
Wilson Garden,No,241
Wilson Garden,Yes,5
Yeshwantpur,No,117
Yeshwantpur,Yes,2
